archivo,caracteres,lineas_no_vacias,notacion_detectada,hits_evidencia_en,hits_evidencia_solfa,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
001_🇦🇷 EL CHE Y LOS ROLLING.txt,1302,50,inglesa,18,0,11,True,False,False,False,False
002_🇦🇷 PRONTA ENTREGA.txt,3344,72,solfeo,0,86,36,True,True,False,False,False
003_🇪🇸 LOBO-HOMBRE EN PARIS.txt,1722,63,inglesa,31,0,25,True,True,True,False,False
004_🇪🇸 SIN ALIENTO.txt,2258,75,inglesa,42,2,21,True,True,False,False,False
005_🇵🇪 Y ES QUE SUCEDE ASI.txt,1843,57,inglesa,22,4,6,True,True,False,False,False
006_🇵🇪 YA NO QUIERO MAS SKA.txt,2651,54,inglesa,41,0,25,True,False,True,False,False
007_🇺🇸 HAVE YOU EVER SEEN THE RAIN.txt,1483,57,inglesa,7,0,20,True,False,False,False,False
008_🇨🇴  ME ENAMORA.txt,2030,69,inglesa,11,3,23,True,False,False,False,False
009_🇪🇸 LA PIEDRA REDONDA ✅.txt,3217,65,inglesa,29,0,33,True,False,True,False,False
010_🇪🇸 DE LA NOCHE A LA MAÑANA ✅.txt,1904,62,inglesa,26,0,16,True,False,True,False,False
011_🇦🇷 EN LA CIUDAD DE LA FURIA✅.txt,1196,39,solfeo,0,2,0,False,False,False,False,False
012_🇦🇷 CUANDO PASE EL TEMBLOR ✅.txt,1775,54,inglesa,30,2,20,True,False,True,False,False
013_🇦🇷 TRÁTAME SUAVEMENTE ✅.txt,1528,38,inglesa,32,3,16,True,False,False,False,False
014_🇦🇷 NADA PERSONAL ✅.txt,1252,45,inglesa,17,0,8,True,True,True,False,False
015_🇦🇷 DISCO ETERNO.txt,801,36,inglesa,7,1,3,True,False,False,False,False
016_🇦🇷 AMORES LEJANOS ✅✅.txt,1654,43,inglesa,29,6,7,True,False,True,False,False
017_🇦🇷 UN MISIL EN MI PLACARD ✅.txt,1750,46,inglesa,29,0,10,True,True,True,False,False
018_🇦🇷 ESTOY AZULADO ✅.txt,787,15,inglesa,21,1,7,True,False,False,False,False
019_🇦🇷 IMAGENES RETRO ✅✅.txt,1517,40,inglesa,33,2,11,True,False,True,False,False
020_🇦🇷 LA MURALLA VERDE ✅.txt,1389,47,inglesa,50,1,12,True,False,False,False,False
021_🇦🇷 LAMENTO BOLIVIANO ✅.txt,1431,51,inglesa,39,0,18,True,False,False,False,False
022_🇦🇷 IGUAL QUE AYER ✅.txt,3546,88,inglesa,82,4,46,True,False,True,False,False
023_🇦🇷 BLANCOAZUL ✅.txt,2099,47,inglesa,14,0,10,True,True,True,False,False
024_🇦🇷 TE VI EN UN TREN ✅.txt,2065,50,inglesa,12,0,21,True,False,True,False,False
025_🇦🇷 POR EL RESTO ✅.txt,1815,43,inglesa,37,1,19,True,False,True,False,False
026_🇦🇷 CUANDO PASE EL TEMBLOR.txt,1923,76,inglesa,43,2,34,True,False,False,False,False
027_🇦🇷 EL RITO.txt,1558,55,inglesa,4,4,10,True,True,True,False,False
028_🇦🇷 ENTRE CANIBALES ✅.txt,1190,27,inglesa,31,0,11,True,False,True,False,False
029_🇦🇷 CRIMEN.txt,1501,57,inglesa,33,0,28,True,True,True,False,False
030_🇺🇸 BLACK ✅.txt,3691,100,inglesa,20,0,27,True,False,True,False,False
031_🇦🇷 CADA VEZ QUE DIGO ADIOS ✅✅✅.txt,2047,71,inglesa,33,1,22,True,False,True,False,False
032_🇦🇷 ZOOM.txt,856,37,inglesa,1,0,3,True,True,True,False,False
033_B-7 🇦🇷 PRÓFUGOS  ✅✅.txt,2097,59,inglesa,38,4,28,True,False,True,False,False
034_🇦🇷 PERSIANA AMERICANA  ✅.txt,1852,61,inglesa,24,0,19,True,False,True,False,False
035_🇦🇷 GUITARRAS BLANCAS ✅.txt,1513,55,inglesa,53,0,7,True,False,True,False,False
036_🇦🇷 FRANCÉS LIMÓN ✅.txt,2633,77,inglesa,65,3,31,True,False,False,False,False
037_🇦🇷.txt,3,1,ninguna,0,0,0,False,False,False,True,True
038_🇲🇽 TRISTE CANCIÓN.txt,1497,33,inglesa,35,4,11,True,False,True,False,False
039_🇦🇷 BYE BYE.txt,2571,54,inglesa,52,1,15,True,True,True,False,False
040_🇦🇷 TE QUIERO TANTO.txt,1944,59,inglesa,21,0,0,False,True,True,False,False
041_🇨🇱 EL DUELO.txt,1247,44,inglesa,22,0,19,True,False,False,False,False
042_🇬🇧 SONG 2 ✅.txt,1251,41,inglesa,30,0,16,True,True,True,False,False
043_🇺🇸 BORN TO BE WILD.txt,1661,53,ninguna,0,0,0,False,False,False,False,False
044_🇦🇷 MIL HORAS.txt,2065,63,inglesa,58,4,23,True,False,True,False,False
045_🇪🇸 SIN DOCUMENTOS ✅.txt,2143,53,inglesa,16,0,7,True,True,True,False,False
046_🇦🇷 DE MÚSICA LIGERA ✅.txt,759,29,solfeo,0,2,0,False,False,False,False,False
047_🇦🇷 TE HACEN FALTA VITAMINAS  ✅.txt,1282,40,ninguna,0,0,0,False,False,False,False,False
048_🇦🇷 SOBREDOSIS DE TV ✅.txt,1463,55,inglesa,21,1,9,True,False,True,False,False
049_🇦🇷 SIGNOS ✅.txt,871,27,inglesa,26,0,2,True,False,False,False,False
050_🇦🇷 PRÓFUGOS  ✅.txt,2162,64,inglesa,41,4,33,True,False,True,False,False
051_🇦🇷 TU CÁRCEL ✅ (VIVO).txt,1351,32,inglesa,8,0,9,True,False,True,False,False
052_🇦🇷 EL EXTRAÑO DE PELO LARGO ✅.txt,1620,34,inglesa,7,2,17,True,False,True,False,False
053_🇦🇷 MOJADA - VIVO✅.txt,5004,142,inglesa,69,7,70,True,False,True,False,False
054_🇦🇷 TRAVESTIS ✅.txt,2075,55,inglesa,73,2,12,True,False,True,False,False
055_🇦🇷 LA PACHANGA ✅.txt,2380,84,inglesa,8,5,0,False,False,False,False,False
056_🇦🇷 AÚN SIGO CANTANDO.txt,1894,54,inglesa,22,1,20,True,False,True,False,False
057_🇦🇷 SIGNOS.txt,1646,89,inglesa,63,0,1,True,False,False,False,False
058_🇦🇷 GUITARRAS BLANCAS.txt,1473,56,inglesa,41,0,7,True,False,True,False,False
059_🇺🇸 COME AS YOU ARE.txt,1513,73,inglesa,32,0,0,False,False,False,False,False
060_🇺🇸 RAPE ME.txt,1604,53,inglesa,8,0,6,True,False,True,False,False
061_🇵🇪 DECIR ADIOS.txt,2155,75,inglesa,14,3,32,True,False,False,False,False
062_🇬🇧 ROCK AND ROLL.txt,1869,61,ninguna,0,0,0,False,False,False,False,False
063_🇬🇧 WHOLE LOTTA LOVE.txt,1090,28,ninguna,0,0,0,False,False,False,False,False
064_🇦🇷 MARIPOSA TECNICOLOR.txt,1162,37,solfeo,0,4,0,False,False,False,False,False
065_🇦🇷 FLACA ✅.txt,837,35,solfeo,1,2,0,False,False,False,False,False
066_🇦🇷 NADA FUE UN ERROR ✅.txt,2796,89,ninguna,0,0,0,False,False,True,False,False
067_🇵🇪 SUNA.txt,2467,81,inglesa,84,5,36,True,False,True,False,False
068_🇵🇪 TRES.txt,1002,40,inglesa,19,0,3,True,True,False,False,False
069_🇵🇪 EN ESTA HABITACIÒN.txt,2242,78,inglesa,45,0,2,True,False,False,False,False
070_🇬🇧 ROCK AND ROLL.txt,1868,64,ninguna,0,0,0,False,False,False,False,False
071_🇺🇸 SULTANS OF SWING.txt,3739,97,inglesa,79,0,32,True,True,False,False,False
072_🇵🇪 LO PEOR DE TODO.txt,4435,97,inglesa,53,1,45,True,False,False,False,False
073_🇺🇸 ACCIDENTALY IN LOVE.txt,3841,78,inglesa,29,0,37,True,False,True,False,False
074_🇦🇷 MUCHO MEJOR.txt,2473,99,ninguna,0,0,0,False,False,False,False,False
075_🇦🇷 TELE-KA.txt,1752,65,inglesa,59,1,30,True,False,False,False,False
076_🇦🇹 LIFE IS LIFE.txt,935,39,inglesa,34,0,18,True,False,False,False,False
077_🇦🇺 DON’T DREAM IS OVER.txt,2982,83,inglesa,31,0,30,True,False,False,False,False
078_🇪🇸 MALDITO DUENDE.txt,1538,75,inglesa,27,5,15,True,False,False,False,False
079_🇨🇱 ESTRECHEZ DE CORAZÓN.txt,1916,78,inglesa,47,2,38,True,False,False,False,False
080_🇳🇴 TAKE ON ME.txt,949,42,ninguna,0,0,0,False,False,False,False,False
081_🇲🇽 CHICA DE HUMO.txt,3129,76,solfeo,0,35,36,True,False,False,False,False
082_🇦🇷 MUJER AMANTE.txt,2883,79,inglesa,55,0,34,True,False,False,False,False
083_🇺🇸 FAITH.txt,2156,65,inglesa,6,0,25,True,False,False,False,False
084_🇵🇪 WIRITO - Luisa.txt,3829,141,inglesa,14,3,48,True,False,False,False,False
