archivo,caracteres,lineas_no_vacias,notacion_detectada,hits_evidencia_en,hits_evidencia_solfa,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
085_🇨🇱 TREN AL SUR.txt,2507,117,inglesa,82,4,58,True,False,False,False,False
086_🇦🇷 TODOS TENEMOS UN AMOR.txt,2478,95,inglesa,66,0,49,True,False,False,False,False
087_🇨🇴 TODO LO QUE QUIERES ES BAILAR.txt,2237,83,inglesa,30,1,39,True,False,False,False,False
088_🇺🇸 SMELLS LIKE TEEN SPIRIT.txt,2320,153,inglesa,105,0,69,True,False,False,False,False
089_🇵🇪 COMO UN PERRO.txt,1935,55,inglesa,7,2,11,True,False,False,False,False
090_🇨🇴 OJOS MARRONES.txt,1636,72,inglesa,26,3,20,True,False,False,False,False
091_🇦🇷 EL GENIO DEL DUB.txt,1478,23,solfeo,0,1,0,False,False,False,False,False
092_🇦🇷 AUTO ROJO.txt,3555,102,inglesa,74,1,29,True,False,True,False,False
093_🇺🇸 AMERICAN IDIOT.txt,2492,77,inglesa,7,0,38,True,False,False,False,False
094_🇪🇸 INDIANA JONES.txt,2552,60,inglesa,25,0,26,True,False,True,False,False
095_🇦🇷 ATADO A UN SETIMIENTO.txt,1632,54,solfeo,0,1,0,False,True,False,False,False
096_🇦🇷 ES POR AMOR.txt,4799,165,inglesa,42,0,30,True,True,False,False,False
097_🇬🇧WOMAN.txt,2157,69,inglesa,65,0,28,True,False,False,False,False
098_🇺🇸 BEAT IT.txt,2266,14,ninguna,0,0,0,False,False,False,False,False
099_🇬🇧 I SAW HER STANDING THERE.txt,2236,75,ninguna,0,0,0,False,False,False,False,False
100_🇺🇸 BOYS DONT CRY.txt,2056,80,inglesa,71,0,37,True,False,True,False,False
101_🇵🇪 EL TIEMPO.txt,2165,70,inglesa,57,1,30,True,False,True,False,False
102_🇺🇸 OVERKILL.txt,1942,84,inglesa,12,0,37,True,False,False,False,False
103_🇵🇪 CUÉNTAME.txt,2107,70,inglesa,1,0,0,False,False,False,False,False
104_🇦🇷🇪🇸 MIX LOCO TU FORMA DE SER & TIROTEO.txt,2262,54,solfeo,0,4,0,False,False,False,False,False
105_🇦🇷 JUEGOS DE SEDUCCIÓN.txt,1731,58,inglesa,29,0,27,True,False,False,False,False
106_🇺🇸 LIKE A STONE.txt,2907,96,inglesa,45,0,46,True,False,False,False,False
107_🇺🇸 EVEN FLOW.txt,2791,71,inglesa,31,0,23,True,False,False,False,False
108_🇵🇪 EL REY DEL AH AH AH.txt,2064,78,inglesa,29,0,13,True,False,False,False,False
109_🇵🇪 MALA SANGRE.txt,1821,69,inglesa,9,0,35,True,True,False,False,False
110_🇵🇪 TE QUIERO.txt,2065,86,inglesa,34,2,44,True,False,False,False,False
111_🇦🇷SENTIMIENTO FATAL.txt,1098,56,inglesa,22,0,9,True,False,False,False,False
112_🇺🇸 ALL START.txt,4108,109,inglesa,34,0,51,True,False,False,False,False
113_🇺🇸 LIVING ON A PRAYER (Dm).txt,2748,102,inglesa,82,0,35,True,False,False,False,False
114_🇬🇧 WE WILL ROCK YOU.txt,805,9,ninguna,0,0,0,False,False,False,False,False
115_🇺🇸 HOTEL CALIFORNIA.txt,2450,70,inglesa,48,0,27,True,False,False,False,False
116_🇯🇲 COULD YOU BE LOVED.txt,2096,93,inglesa,44,0,24,True,False,False,False,False
117_🇵🇪 CAROL QUIERE UN VIAJE A LONDRES.txt,1555,39,inglesa,9,0,19,True,False,False,False,False
118_🇬🇧 HIGHWAY STAR.txt,2091,72,inglesa,15,0,16,True,False,False,False,False
119_🇲🇽 CLAVADO EN UN BAR.txt,4920,177,inglesa,66,2,75,True,False,False,False,False
120_🇺🇸 BASKET CASE.txt,2169,66,inglesa,111,0,35,True,False,False,False,False
121_🇦🇷 MIX GIT.txt,6730,237,inglesa,64,2,53,True,True,False,False,False
122_🇵🇪 CARIÑITO.txt,818,32,inglesa,26,0,10,True,False,True,False,False
123_🇲🇽 AHORA TE PUEDES MARCHAR.txt,2398,81,inglesa,14,0,26,True,True,True,False,False
124_🇬🇧 TWIST AND SHOUT.txt,3202,69,ninguna,0,0,0,False,False,True,False,False
125_🇬🇧 SHOW ME THE WAY.txt,2145,93,inglesa,53,0,30,True,False,True,False,False
126_🇬🇧 LAST TRAIN TO LONDON.txt,1669,48,inglesa,2,0,2,True,False,False,False,False
127_🇦🇷 TARADO DE CUMPLEAÑOS.txt,1923,71,inglesa,22,2,23,True,True,False,False,False
128_🇦🇷 LOCO.txt,1574,67,inglesa,57,1,28,True,False,False,False,False
129_🇬🇧 SMOKE ON THE WATER.txt,2284,70,inglesa,24,0,34,True,False,True,False,False
130_🇨🇱 POR QUÉ NO SE VAN.txt,1256,64,inglesa,26,0,12,True,False,False,False,False
131_🇺🇸 DANCING IN THE DARK.txt,1720,54,ninguna,0,0,0,False,False,False,False,False
132_🇲🇽 BLACK MAGIC WOMAN.txt,1056,29,inglesa,16,0,12,True,False,False,False,False
133_🇦🇷 LA CALLE ES SU LUGAR.txt,2006,55,inglesa,29,0,19,True,True,False,False,False
134_🇺🇸 MY SHARONA.txt,1664,55,inglesa,16,0,8,True,False,False,False,False
135_🇵🇪ELSA.txt,1901,50,inglesa,50,0,20,True,False,False,False,False
136_🇦🇺 WE CAN IT BE NOW-.txt,1098,37,ninguna,0,0,0,False,False,False,False,False
137_🇬🇧 (OH) PRETTY WOMAN.txt,1589,65,inglesa,14,2,20,True,False,False,False,False
138_🇦🇷 LUNA DE MIEL.txt,1581,58,solfeo,0,34,16,True,False,True,False,False
"139_🇦🇷 MANUEL SANTILLAN, EL LEÓN.txt",1842,67,solfeo,0,1,0,False,False,False,False,False
140_🇵🇪 QUÉDATE.txt,3056,87,inglesa,43,3,44,True,False,True,False,False
141_🇺🇸WE CAN BE KNOW.txt,1133,10,ninguna,0,0,0,False,False,False,False,False
142_🎄🇬🇧 X-MAS.txt,2208,91,inglesa,31,0,44,True,False,False,False,False
143_🎄🇵🇷 FELIZ NAVIDAD.txt,2721,100,inglesa,6,0,47,True,False,False,False,False
144_🎄🇺🇸 JINGLE BELLS ROCK.txt,2086,97,inglesa,18,0,43,True,False,False,False,False
145_🇺🇸 DOWN UNDER.txt,1433,14,ninguna,0,0,0,False,False,False,False,False
146_🇨🇱 SENTIMIENTO ORIGINAL.txt,1853,70,inglesa,17,1,23,True,True,False,False,False
147_🇦🇷 MI ENFERMEDAD.txt,1169,27,inglesa,7,3,13,True,False,False,False,False
148_🇺🇾 MIX NUEVA OLA.txt,2477,59,inglesa,33,12,21,True,False,True,False,False
149_🇵🇪 CARRETERAS MOJADAS.txt,3338,83,inglesa,23,5,36,True,True,True,False,False
150_🇺🇸SCAR TISSUE.txt,1677,50,inglesa,11,0,8,True,False,True,False,False
151_🇪🇸 LA FLACA.txt,2410,97,inglesa,6,4,25,True,False,True,False,False
152_🇵🇪 MAGDALENA.txt,1011,24,inglesa,1,0,0,False,False,False,False,False
153_🇮🇹 LAURA NO ESTÁ.txt,3023,58,inglesa,45,1,29,True,False,False,False,False
154_🇬🇧 COME TOGETHER.txt,1169,55,ninguna,0,0,0,False,False,False,False,False
155_🇺🇸 BY THE WAY.txt,1662,19,ninguna,0,0,0,False,False,False,False,False
156_🇺🇸CANT STOP.txt,2675,71,ninguna,0,0,0,False,False,False,False,False
157_🇪🇸 COMO UN BURRO AMARRADO.txt,1517,47,inglesa,1,0,0,False,False,False,False,False
158_🇬🇧 (I CAN’T GET NO) SATISFACTION.txt,1727,66,ninguna,0,0,0,False,False,True,False,False
159_🇬🇧 ROXANE.txt,1532,54,ninguna,0,0,0,False,False,False,False,False
160_🇬🇧 HEY JUDE.txt,2436,91,inglesa,20,0,41,True,False,False,False,False
161_🇨🇴 MI PRIMER MILLON.txt,4089,136,inglesa,85,0,69,True,False,False,False,False
162_🇺🇸SANTERIA.txt,2184,70,inglesa,30,0,30,True,False,False,False,False
163_🇵🇪 UN VINO UNA CERVEZA.txt,3952,132,inglesa,55,1,61,True,False,False,False,False
164_🇵🇪 ME ESTOY ENAMORANDO.txt,1959,51,inglesa,12,5,15,True,False,True,False,False
165_🇬🇧 SHOULD I SATY OR SHOULD I GO.txt,2876,83,ninguna,0,0,0,False,False,True,False,False
166_🇦🇷 CUANDO SEAS GRANDE.txt,2490,105,ninguna,0,0,0,False,False,False,False,False
167_🇲🇽 OYE MI AMOR.txt,1747,71,inglesa,28,4,16,True,True,True,False,False
168_🇲🇽  RAYANDO EL SOL.txt,2755,61,inglesa,30,1,32,True,False,False,False,False
169_🇺🇸 MANEATER.txt,2816,95,inglesa,30,0,21,True,True,True,False,False
170_🇵🇪 MIX MAR E COPAS.txt,2008,67,inglesa,48,5,29,True,False,True,False,False
171_🇬🇧 CREEP.txt,1866,12,inglesa,13,0,0,False,False,True,False,False
172_🇪🇸 EN ALGÚN LUGAR.txt,2455,75,inglesa,52,1,43,True,False,False,False,False
173_🇵🇪 LA CHATA.txt,1188,52,inglesa,11,5,19,True,False,False,False,False
174_🇵🇪 LAS TORRES.txt,1529,17,solfeo,0,5,0,False,False,False,False,False
175_🇦🇷 LUNES POR LA MADRUGADA.txt,730,30,ninguna,0,0,0,False,False,False,False,False
176_🇺🇸 ARE YOU GONNA GO MY WAY.txt,1024,41,inglesa,1,0,0,False,False,False,False,False
177_🇦🇷 PARA NO VERTE MÁS.txt,2042,112,inglesa,58,1,41,True,False,False,False,False
178_🇵🇪 LOS GLOBOS DEL CIELO.txt,2199,45,inglesa,12,0,9,True,True,True,False,False
179_🇵🇪 MIX CUMBIAS.txt,10376,306,inglesa,250,0,109,True,True,True,False,False
180_🇵🇪 MIX CUMBIAS.txt,10376,306,inglesa,250,0,109,True,True,True,False,False
181_🇵🇪 Cum. ERES MENTIROSA.txt,462,24,inglesa,12,0,6,True,False,True,False,False
182_🇬🇧 HOW DEEP IS YOUR LOVE.txt,1661,58,ninguna,0,0,0,False,False,False,False,False
183_🇵🇪 Cum. COLEGIALA.txt,2546,54,inglesa,41,0,21,True,True,False,False,False
184_🇲🇽 AHORA TE PUEDES MARCHAR.txt,2283,70,inglesa,16,0,30,True,True,True,False,False
185_🇬🇧 CRAZY LLITLE THING.txt,2602,86,inglesa,21,0,41,True,False,True,False,False
186_🇪🇸 VENECIA.txt,3615,112,inglesa,118,3,45,True,False,True,False,False
187_🇵🇪 UN DíA SIN SEXO.txt,2753,60,inglesa,40,4,28,True,True,True,False,False
188_🇺🇸 WE BELONG TOGETHER.txt,1120,50,inglesa,39,0,22,True,False,True,False,False
189_🇺🇸	COMO YO NADIE TE HA AMADO.txt,3551,130,inglesa,21,4,55,True,False,True,False,False
190_🇦🇷 LA GUITARRA.txt,3270,92,inglesa,42,0,45,True,False,False,False,False
191_🇬🇧 ANOTHER ONE BITES THE DUST.txt,1260,22,inglesa,15,0,0,False,False,False,False,False
192_🌎HAPY BIRTHDAY - CUMPLEAÑOS.txt,269,9,ninguna,0,0,0,False,False,False,False,False
193_🇨🇱SEXO.txt,2144,53,inglesa,28,1,17,True,False,True,False,False
194_🇺🇸 LIVING ON A PRAYER.txt,2394,83,inglesa,39,0,31,True,False,False,False,False
195_🇺🇸 HIGHER GROUND.txt,1334,35,ninguna,0,0,0,False,False,False,False,False
196_🇨🇴  TACONES ROJOS.txt,1389,62,solfeo,0,5,0,False,False,False,False,False
197_🇺🇸 DANI CALIFORNIA.txt,3051,100,inglesa,75,0,45,True,False,True,False,False
198_🇵🇪 QUÉ DIFICIL ES AMAR.txt,3322,95,inglesa,42,1,40,True,False,False,False,False
199_🇵🇪 TRICICLO PERÚ.txt,2277,60,inglesa,33,2,27,True,True,True,False,False
200_🇬🇧 EVERY BREATH YOU TAKE.txt,2181,74,inglesa,14,0,9,True,False,False,False,False
201_🇺🇸RAIN.txt,1118,16,ninguna,0,0,0,False,True,False,False,False
202_🇬🇧 DONT LET ME DOWN.txt,1895,51,inglesa,13,0,22,True,False,True,False,False
203_🇺🇸TALKING IN YOUR SLEEP.txt,2939,81,inglesa,78,0,35,True,False,False,False,False
204_🇲🇽 CORAZÓN ESPINADO.txt,2214,83,inglesa,113,0,44,True,False,False,False,False
205_🇺🇸 COME OUT AND PLAY.txt,2093,72,inglesa,5,0,4,True,False,False,False,False
206_🇺🇸GIVE IT AWAY.txt,2290,57,ninguna,0,0,0,False,False,False,False,False
207_🇺🇸 AROUND THE WORLD.txt,1549,68,ninguna,0,0,0,False,False,False,False,False
208_🇺🇸 JAILHOUSE ROCK.txt,2571,82,inglesa,24,0,37,True,False,True,False,False
209_🇺🇸 LA BAMBA.txt,1813,88,ninguna,0,0,0,False,False,True,False,False
210_🇪🇸 ENTRE DOS TIERRAS.txt,2708,84,inglesa,97,7,43,True,False,True,False,False
211_🇺🇸PLUSH.txt,1408,57,ninguna,0,0,0,False,False,False,False,False
212_🇦🇷 DEMOLIENDO HOTELES.txt,1337,44,inglesa,8,0,12,True,False,True,False,False
213_🇪🇸 DEVUÉLVEME A MI CHICA.txt,2143,61,inglesa,54,0,29,True,False,True,False,False
214_🇺🇸 HOLD THE LINE.txt,3554,77,inglesa,108,0,37,True,False,True,False,False
215_A-04🇨🇴 MIX - OJOS MARRONES & TACONES ROJOS.txt,2650,122,inglesa,22,7,18,True,False,False,False,False
216_12.BABY I LOVE YOUR WAY.txt,2952,72,inglesa,44,0,37,True,True,False,False,False
217_11.LOSING MY RELIGIÓN.txt,2940,114,inglesa,46,0,51,True,False,False,False,False
